"","p.value","accuracy"
"1",0.01,0.571428571428571
"2",0.02,0.571428571428571
"3",0.03,0.571428571428571
"4",0.04,0.571428571428571
"5",0.05,0.571428571428571
"6",0.06,0.571428571428571
"7",0.07,0.571428571428571
"8",0.08,0.571428571428571
"9",0.09,0.571428571428571
"10",0.1,0.571428571428571
"11",0.11,0.571428571428571
"12",0.12,0.571428571428571
"13",0.13,0.571428571428571
"14",0.14,0.571428571428571
"15",0.15,0.571428571428571
"16",0.16,0.571428571428571
"17",0.17,0.571428571428571
"18",0.18,0.571428571428571
"19",0.19,0.571428571428571
"20",0.2,0.571428571428571
"21",0.21,0.571428571428571
"22",0.22,0.571428571428571
"23",0.23,0.571428571428571
"24",0.24,0.571428571428571
"25",0.25,0.571428571428571
"26",0.26,0.571428571428571
"27",0.27,0.571428571428571
"28",0.28,0.571428571428571
"29",0.29,0.607142857142857
"30",0.3,0.607142857142857
"31",0.31,0.642857142857143
"32",0.32,0.678571428571429
"33",0.33,0.714285714285714
"34",0.34,0.714285714285714
"35",0.35,0.785714285714286
"36",0.36,0.75
"37",0.37,0.785714285714286
"38",0.38,0.785714285714286
"39",0.39,0.785714285714286
"40",0.4,0.785714285714286
"41",0.41,0.75
"42",0.42,0.75
"43",0.43,0.75
"44",0.44,0.678571428571429
"45",0.45,0.678571428571429
"46",0.46,0.678571428571429
"47",0.47,0.642857142857143
"48",0.48,0.571428571428571
"49",0.49,0.571428571428571
"50",0.5,0.5
"51",0.51,0.535714285714286
"52",0.52,0.535714285714286
"53",0.53,0.5
"54",0.54,0.464285714285714
"55",0.55,0.428571428571429
"56",0.56,0.428571428571429
"57",0.57,0.357142857142857
"58",0.58,0.321428571428571
"59",0.59,0.321428571428571
"60",0.6,0.321428571428571
"61",0.61,0.321428571428571
"62",0.62,0.321428571428571
"63",0.63,0.321428571428571
"64",0.64,0.321428571428571
"65",0.65,0.321428571428571
"66",0.66,0.321428571428571
"67",0.67,0.321428571428571
"68",0.68,0.357142857142857
"69",0.69,0.357142857142857
"70",0.7,0.428571428571429
"71",0.71,0.428571428571429
"72",0.72,0.428571428571429
"73",0.73,0.428571428571429
"74",0.74,0.428571428571429
"75",0.75,0.428571428571429
"76",0.76,0.428571428571429
"77",0.77,0.428571428571429
"78",0.78,0.428571428571429
"79",0.79,0.428571428571429
"80",0.8,0.428571428571429
"81",0.81,0.428571428571429
"82",0.82,0.428571428571429
"83",0.83,0.428571428571429
"84",0.84,0.428571428571429
"85",0.85,0.428571428571429
"86",0.86,0.428571428571429
"87",0.87,0.428571428571429
"88",0.88,0.428571428571429
"89",0.89,0.428571428571429
"90",0.9,0.428571428571429
"91",0.91,0.428571428571429
"92",0.92,0.428571428571429
"93",0.93,0.428571428571429
"94",0.94,0.428571428571429
"95",0.95,0.428571428571429
"96",0.96,0.428571428571429
"97",0.97,0.428571428571429
"98",0.98,0.428571428571429
"99",0.99,0.428571428571429
